22.07.2026                                                       การแสดงรายการแบบไดนามิก                                                               1
--------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------
|  วัสดุ        |คำอธิบายวัสดุ                           |Plnt|ใบสั่ง|โครงข่าย  |        องค์ประกอบ WBS|MvT|ปม.ต้องการ|RemovedQty|ปริมาณต่าง|วันต้องการ|
|  1-02-026-0301|PREFORMED D/E, AW 50 SQ.MM.             |D060|      |8004964627|C-68-D-BPGCS.0024.02.1|581|       16 |        0 |       16 |19.02.2026|
|  1-03-003-0000|INSULATOR,SPOOL,CLASS 53-2 TIS.227      |D060|      |8004964627|C-68-D-BPGCS.0024.02.1|581|       16 |        0 |       16 |19.02.2026|
|  1-03-003-0103|INSULATOR,STRAIN,CLASS 54-4 TIS.280     |D060|      |8004964627|C-68-D-BPGCS.0024.02.1|581|        1 |        0 |        1 |19.02.2026|
|  1-03-013-0000|RACK, 2X200 MM. EXT.BACK                |D060|      |8004964627|C-68-D-BPGCS.0024.02.1|581|        4 |        0 |        4 |19.02.2026|
|  1-03-013-0002|RACK, 4X200 MM. EXT.BACK                |D060|      |8004964627|C-68-D-BPGCS.0024.02.1|581|        2 |        0 |        2 |19.02.2026|
|  1-01-010-0004|ST. WIRE, STRANDED 50/7 SQ.MM.TIS.404   |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|       30 |        0 |       30 |19.02.2026|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        3 |        0 |        3 |19.02.2026|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        5 |        0 |        5 |19.02.2026|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        5 |        0 |        5 |19.02.2026|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|       21 |        0 |       21 |19.02.2026|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        1 |        0 |        1 |19.02.2026|
|  1-06-005-0010|METER,WATTHOUR 1 P, 2 W 30(100)A. O/D   |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        1 |        0 |        1 |19.02.2026|
|  1-06-010-0000|CABLE PLATE, SIZE 2X20X20 CM.           |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        6 |        0 |        6 |19.02.2026|
|  1-06-010-0001|METER PLATE, SIZE 2X20X60 CM.           |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        5 |        0 |        5 |19.02.2026|
|  1-06-010-0003|METER PLATE, SIZE 2X20X30 CM.           |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        1 |        0 |        1 |19.02.2026|
|  1-06-010-0006|AL CABINET,O/D,FOR 3 P WATTHOUR METER   |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        1 |        0 |        1 |19.02.2026|
|  1-06-010-0008|ST. CABINET,WATTHOUR METER WITH L.T.,CT |D060|      |8004964630|C-68-D-BPGCS.0024.02.1|581|        1 |        0 |        1 |19.02.2026|
|  1-00-001-0004|POLE 12 M.                              |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        2 |        0 |        2 |14.05.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        5 |        0 |        5 |14.05.2025|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        2 |        0 |        2 |14.05.2025|
|  1-03-001-0101|INSULATOR,PIN POST,22 KV. P/A           |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        3 |        0 |        3 |14.05.2025|
|  1-03-002-0000|INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|       18 |        0 |       18 |14.05.2025|
|  1-04-000-0001|S.A., 21 KV. 10 KA.                     |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        6 |        0 |        6 |14.05.2025|
|  1-04-005-0000|D.SW.,1 POLE 22 KV. 600 A.DIST.         |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        9 |        0 |        9 |14.05.2025|
|  1-04-007-3015|VT.1P.O/D 22,000/230 V.REC.500 VA.      |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        1 |        0 |        1 |14.05.2025|
|  1-04-008-0004|RECLOSER 22KV630A12KA(SOLID)WITH HANGER |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        1 |        0 |        1 |14.05.2025|
|  1-04-008-0300|RECLOSER HANGER,FOR DOUBLE-POLE MOUNTING|D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        1 |        0 |        1 |14.05.2025|
|  1-04-008-0302|CONTROL UNIT,AUTO,FOR RECLOSER (E)      |D060|      |8005004658|C-68-D-NPNSR.0238.02.1|581|        1 |        0 |        1 |14.05.2025|
|  1-03-003-0000|INSULATOR,SPOOL,CLASS 53-2 TIS.227      |D060|      |8005004659|C-68-D-NPNSR.0238.02.1|581|        4 |        0 |        4 |14.05.2025|
|  1-03-013-0000|RACK, 2X200 MM. EXT.BACK                |D060|      |8005004659|C-68-D-NPNSR.0238.02.1|581|        2 |        0 |        2 |14.05.2025|
|  1-00-001-0006|POLE 14 M.                              |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        8 |        0 |        8 |10.03.2026|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       12 |        0 |       12 |10.03.2026|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        4 |        0 |        4 |10.03.2026|
|  1-01-000-0100|ST. CHANNEL, 100X50X5 MM. 2.25 M.LONG   |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        2 |        0 |        2 |10.03.2026|
|  1-01-001-0003|ST. ANG.,OHGW. BAYONET 2.25 M.LONG      |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       12 |        0 |       12 |10.03.2026|
|  1-01-010-0002|ST. WIRE, STRANDED 25 SQ.MM.TIS.404     |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|  533.800 |        0 |  533.800 |10.03.2026|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       24 |        0 |       24 |10.03.2026|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        4 |        0 |        4 |10.03.2026|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        2 |        0 |        2 |10.03.2026|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       30 |        0 |       30 |10.03.2026|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       12 |        0 |       12 |10.03.2026|
|  1-01-011-0206|BOLT,MACHINE M.16X400 MM.               |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       12 |        0 |       12 |10.03.2026|
|  1-01-013-0001|BOLT,DOUBLE ARMING,ROUND EYE M.16X450MM.|D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        6 |        0 |        6 |10.03.2026|
|  1-01-014-0001|BOLT,ROUND EYE M.16X200 MM.             |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        2 |        0 |        2 |10.03.2026|
|  1-01-018-0001|NUT,EYE M.16 DIN 582                    |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        8 |        0 |        8 |10.03.2026|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|      120 |        0 |      120 |10.03.2026|
|  1-01-018-0201|WASHER,SQUARE,CURVED 60X60X5 MM.        |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       42 |        0 |       42 |10.03.2026|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       12 |        0 |       12 |10.03.2026|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       32 |        0 |       32 |10.03.2026|
|  1-01-021-0304|THIMBLE,GUY,FOR STEEL WIRE 50-95 SQ.MM. |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|        4 |        0 |        4 |10.03.2026|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       30 |        0 |       30 |10.03.2026|
|  1-01-023-0012|CLAMP, DOUBLE BOLTS, ST. WIRE 25 SQ.MM. |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       32 |        0 |       32 |10.03.2026|
|  1-01-023-0205|GROUND WIRE CLAMP,J.1152                |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       12 |        0 |       12 |10.03.2026|
|  1-02-006-0004|PIC,22 KV. 185 SQ.MM.                   |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|    1,200 |        0 |    1,200 |10.03.2026|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       42 |        0 |       42 |10.03.2026|
|  1-03-002-0000|INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |D060|      |7001097133|  I-68-D-NPNOM.DT.0002|581|       36 |        0 |       36 |10.03.2026|
|  1-02-044-0112|BRACKET,SAC CORNER SUPPORT, 22-33 KV    |D060|      |6001399039|P-SEZ02.0-D-NPND0.1133|581|        1 |        0 |        1 |16.03.2026|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |6001399039|P-SEZ02.0-D-NPND0.1133|581|        3 |        0 |        3 |16.03.2026|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |6001399548|P-TDD01.3-D-NPND0.6802|581|        1 |        0 |        1 |21.07.2026|
|  1-02-044-0008|CABLE SPACER,HDPE-MTEC,SAC 50-185 SQ.MM.|D060|      |6001399548|P-TDD01.3-D-NPND0.6802|581|        1 |        0 |        1 |21.07.2026|
|  1-04-003-0002|FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K    |D060|      |6001400125|P-SEZ02.0-D-NPND0.1135|581|        3 |        0 |        3 |07.07.2025|
|  1-05-001-0005|TR., 50 KVA. 3 P 22-0.40 KV.DY 11       |D060|      |6001400125|P-SEZ02.0-D-NPND0.1135|581|        1 |        0 |        1 |07.07.2025|
|  1-00-001-0004|POLE 12 M.                              |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        9 |        0 |        9 |23.06.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        9 |        0 |        9 |23.06.2025|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        2 |        0 |        2 |23.06.2025|
|  1-01-000-0100|ST. CHANNEL, 100X50X5 MM. 2.25 M.LONG   |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        2 |        0 |        2 |23.06.2025|
|  1-01-001-0003|ST. ANG.,OHGW. BAYONET 2.25 M.LONG      |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        7 |        0 |        7 |23.06.2025|
|  1-01-010-0002|ST. WIRE, STRANDED 25 SQ.MM.TIS.404     |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|   21.800 |        0 |   21.800 |23.06.2025|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       16 |        0 |       16 |23.06.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        2 |        0 |        2 |23.06.2025|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        9 |        0 |        9 |23.06.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       20 |        0 |       20 |23.06.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        7 |        0 |        7 |23.06.2025|
|  1-01-011-0206|BOLT,MACHINE M.16X400 MM.               |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        1 |        0 |        1 |23.06.2025|
|  1-01-012-0001|BOLT,DOUBLE ARMING,M.16X450 MM.         |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        2 |        0 |        2 |23.06.2025|
|  1-01-013-0001|BOLT,DOUBLE ARMING,ROUND EYE M.16X450MM.|D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        3 |        0 |        3 |23.06.2025|
|  1-01-014-0001|BOLT,ROUND EYE M.16X200 MM.             |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        2 |        0 |        2 |23.06.2025|
|  1-01-018-0001|NUT,EYE M.16 DIN 582                    |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        5 |        0 |        5 |23.06.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       85 |        0 |       85 |23.06.2025|
|  1-01-018-0201|WASHER,SQUARE,CURVED 60X60X5 MM.        |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       30 |        0 |       30 |23.06.2025|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        8 |        0 |        8 |23.06.2025|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       20 |        0 |       20 |23.06.2025|
|  1-01-021-0304|THIMBLE,GUY,FOR STEEL WIRE 50-95 SQ.MM. |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        4 |        0 |        4 |23.06.2025|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       20 |        0 |       20 |23.06.2025|
|  1-01-023-0012|CLAMP, DOUBLE BOLTS, ST. WIRE 25 SQ.MM. |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       22 |        0 |       22 |23.06.2025|
|  1-01-023-0205|GROUND WIRE CLAMP,J.1152                |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|        7 |        0 |        7 |23.06.2025|
|  1-02-001-0005|COND.,AL,BARE 120 SQ.MM.TIS.85          |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|      960 |        0 |      960 |23.06.2025|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       30 |        0 |       30 |23.06.2025|
|  1-03-002-0000|INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |D060|      |7001109865|  I-67-D-NPN68.HB.1103|581|       18 |        0 |       18 |23.06.2025|
|  1-00-001-0002|POLE  9 M.                              |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|        2 |        0 |        2 |23.06.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|        4 |        0 |        4 |23.06.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|       18 |        0 |       18 |23.06.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|       18 |        0 |       18 |23.06.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|       40 |        0 |       40 |23.06.2025|
|  1-02-001-0002|COND.,AL,BARE 50/7 SQ.MM.TIS.85         |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|      160 |        0 |      160 |23.06.2025|
|  1-02-007-0002|CABLE,AL,750 V,50 SQ.MM. TIS.293        |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|      320 |        0 |      320 |23.06.2025|
|  1-03-003-0000|INSULATOR,SPOOL,CLASS 53-2 TIS.227      |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|       40 |        0 |       40 |23.06.2025|
|  1-03-013-0000|RACK, 2X200 MM. EXT.BACK                |D060|      |7001109866|  I-67-D-NPN68.HB.1103|581|       20 |        0 |       20 |23.06.2025|
|  1-06-005-0001|METER,WATTHOUR,1 P,2 W 5(15)A.,O/D      |D060|      |7001109868|  I-67-D-NPN68.HB.1103|581|        1 |        0 |        1 |23.06.2025|
|  1-00-001-0004|POLE 12 M.                              |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-01-000-0100|ST. CHANNEL, 100X50X5 MM. 2.25 M.LONG   |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-01-010-0002|ST. WIRE, STRANDED 25 SQ.MM.TIS.404     |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|      270 |        0 |      270 |23.06.2025|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        8 |        0 |        8 |23.06.2025|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|       12 |        0 |       12 |23.06.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-01-014-0001|BOLT,ROUND EYE M.16X200 MM.             |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-01-018-0001|NUT,EYE M.16 DIN 582                    |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|       40 |        0 |       40 |23.06.2025|
|  1-01-018-0201|WASHER,SQUARE,CURVED 60X60X5 MM.        |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|       12 |        0 |       12 |23.06.2025|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        8 |        0 |        8 |23.06.2025|
|  1-01-021-0304|THIMBLE,GUY,FOR STEEL WIRE 50-95 SQ.MM. |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        8 |        0 |        8 |23.06.2025|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|        8 |        0 |        8 |23.06.2025|
|  1-01-023-0012|CLAMP, DOUBLE BOLTS, ST. WIRE 25 SQ.MM. |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|       16 |        0 |       16 |23.06.2025|
|  1-02-001-0005|COND.,AL,BARE 120 SQ.MM.TIS.85          |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|      750 |        0 |      750 |23.06.2025|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |7001109871|  I-67-D-NPN68.HB.1104|581|       12 |        0 |       12 |23.06.2025|
|  1-00-001-0001|POLE 8 M.                               |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|        1 |        0 |        1 |23.06.2025|
|  1-00-001-0002|POLE  9 M.                              |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|        2 |        0 |        2 |23.06.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|        3 |        0 |        3 |23.06.2025|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|        1 |        0 |        1 |23.06.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|        8 |        0 |        8 |23.06.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|       11 |        0 |       11 |23.06.2025|
|  1-02-026-0301|PREFORMED D/E, AW 50 SQ.MM.             |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|        2 |        0 |        2 |23.06.2025|
|  1-03-003-0000|INSULATOR,SPOOL,CLASS 53-2 TIS.227      |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|       22 |        0 |       22 |23.06.2025|
|  1-03-013-0000|RACK, 2X200 MM. EXT.BACK                |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|        1 |        0 |        1 |23.06.2025|
|  1-03-013-0002|RACK, 4X200 MM. EXT.BACK                |D060|      |7001109872|  I-67-D-NPN68.HB.1104|581|        5 |        0 |        5 |23.06.2025|
|  1-06-005-0001|METER,WATTHOUR,1 P,2 W 5(15)A.,O/D      |D060|      |7001109875|  I-67-D-NPN68.HB.1104|581|        4 |        0 |        4 |23.06.2025|
|  1-00-001-0004|POLE 12 M.                              |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|        5 |        0 |        5 |24.06.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|        6 |        0 |        6 |24.06.2025|
|  1-01-001-0003|ST. ANG.,OHGW. BAYONET 2.25 M.LONG      |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|        6 |        0 |        6 |24.06.2025|
|  1-01-010-0002|ST. WIRE, STRANDED 25 SQ.MM.TIS.404     |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|  254.400 |        0 |  254.400 |24.06.2025|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|       12 |        0 |       12 |24.06.2025|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|        6 |        0 |        6 |24.06.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|       12 |        0 |       12 |24.06.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|        6 |        0 |        6 |24.06.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|       42 |        0 |       42 |24.06.2025|
|  1-01-018-0201|WASHER,SQUARE,CURVED 60X60X5 MM.        |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|       18 |        0 |       18 |24.06.2025|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|        6 |        0 |        6 |24.06.2025|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|       12 |        0 |       12 |24.06.2025|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|       12 |        0 |       12 |24.06.2025|
|  1-01-023-0012|CLAMP, DOUBLE BOLTS, ST. WIRE 25 SQ.MM. |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|       12 |        0 |       12 |24.06.2025|
|  1-01-023-0205|GROUND WIRE CLAMP,J.1152                |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|        6 |        0 |        6 |24.06.2025|
|  1-02-001-0005|COND.,AL,BARE 120 SQ.MM.TIS.85          |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|      720 |        0 |      720 |24.06.2025|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |7001110155|  I-67-D-NPN68.HB.1105|581|       18 |        0 |       18 |24.06.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        2 |        0 |        2 |24.02.2026|
|  1-00-021-0001|BEAM 150X250X3,450 MM.                  |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        2 |        0 |        2 |24.02.2026|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        4 |        0 |        4 |24.02.2026|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        2 |        0 |        2 |24.02.2026|
|  1-01-011-0205|BOLT,MACHINE M.16X350 MM.               |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        2 |        0 |        2 |24.02.2026|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|       10 |        0 |       10 |24.02.2026|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        4 |        0 |        4 |24.02.2026|
|  1-04-001-0002|DROPOUT,FUSE,22 KV.100 A.12 KA          |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        3 |        0 |        3 |24.02.2026|
|  1-04-002-0100|L.T. FUSE-SWITCHES 1X400 A. 500 V.      |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        6 |        0 |        6 |24.02.2026|
|  1-04-003-0003|FUSE LINK 22 KV. 5-6 A.EEI-NEMA TYPE K  |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        3 |        0 |        3 |24.02.2026|
|  1-05-001-0067|TR.,100KVA,3P,22-0.416/0.24KV,DYN11, SC |D060|      |7001110156|  I-67-D-NPN68.HB.1105|581|        1 |        0 |        1 |24.02.2026|
